Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2021,1,Sakhir,HAM,Mercedes,1.0,2,2,0,4.0,3.0,2.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,VER,Red Bull Racing,2.0,1,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,BOT,Mercedes,3.0,3,3,0,2.0,5.0,4.0,0,0,0,0,1,0,0,0,1
2021,1,Sakhir,NOR,McLaren,4.0,7,7,0,3.0,2.0,16.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,PER,Red Bull Racing,5.0,0,11,0,6.0,10.0,5.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,LEC,Ferrari,6.0,4,4,0,5.0,12.0,11.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,RIC,McLaren,7.0,6,6,0,9.0,6.0,10.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,SAI,Ferrari,8.0,8,8,0,8.0,4.0,6.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,TSU,Racing Bulls,9.0,13,13,0,14.0,7.0,13.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,STR,Aston Martin,10.0,10,10,0,13.0,8.0,9.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,RAI,Sauber,11.0,14,14,0,11.0,16.0,7.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,GIO,Sauber,12.0,12,12,0,10.0,13.0,12.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,OCO,Alpine,13.0,16,16,0,15.0,11.0,8.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,RUS,Williams,14.0,15,15,0,17.0,17.0,17.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,VET,Aston Martin,15.0,20,18,0,12.0,14.0,14.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,MSC,Haas F1 Team,16.0,18,19,0,19.0,18.0,18.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,GAS,Racing Bulls,17.0,5,5,0,7.0,9.0,3.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,LAT,Williams,18.0,17,17,0,18.0,19.0,20.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,ALO,Alpine,19.0,9,9,0,16.0,15.0,15.0,0,0,0,0,1,0,0,0,0
2021,1,Sakhir,MAZ,Haas F1 Team,20.0,19,20,0,20.0,20.0,19.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,VER,Red Bull Racing,1.0,3,3,0,3.0,15.0,1.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,HAM,Mercedes,2.0,1,1,0,2.0,3.0,3.0,0,0,0,0,1,0,0,0,1
2021,2,Imola,NOR,McLaren,3.0,7,7,0,13.0,8.0,2.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,LEC,Ferrari,4.0,4,4,0,4.0,1.0,5.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,SAI,Ferrari,5.0,11,11,0,6.0,5.0,8.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,RIC,McLaren,6.0,6,6,0,10.0,11.0,13.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,GAS,Racing Bulls,7.0,5,5,0,5.0,4.0,6.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,STR,Aston Martin,8.0,10,10,0,8.0,10.0,12.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,OCO,Alpine,9.0,9,9,0,17.0,12.0,10.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,ALO,Alpine,10.0,15,15,0,7.0,14.0,9.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,PER,Red Bull Racing,11.0,2,2,0,16.0,6.0,4.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,TSU,Racing Bulls,12.0,20,20,0,20.0,7.0,11.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,RAI,Sauber,13.0,16,16,0,12.0,18.0,19.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,GIO,Sauber,14.0,17,17,0,15.0,9.0,18.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,VET,Aston Martin,15.0,0,13,0,14.0,16.0,14.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,MSC,Haas F1 Team,16.0,18,18,0,19.0,19.0,16.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,MAZ,Haas F1 Team,17.0,19,19,0,18.0,20.0,20.0,0,0,0,0,1,0,0,0,0
2021,2,Imola,BOT,Mercedes,34.29,8,8,0,1.0,2.0,7.0,0,0,1,0,0,0,0,0,0
2021,2,Imola,RUS,Williams,34.29,12,12,0,11.0,17.0,15.0,0,0,1,0,0,0,0,0,0
2021,2,Imola,LAT,Williams,50.0,14,14,0,9.0,13.0,17.0,0,0,1,0,0,0,0,0,0
2021,3,Portimão,HAM,Mercedes,1.0,2,2,0,5.0,1.0,2.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,VER,Red Bull Racing,2.0,3,3,0,2.0,2.0,1.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,BOT,Mercedes,3.0,1,1,0,1.0,3.0,4.0,0,0,0,0,1,0,0,0,1
2021,3,Portimão,PER,Red Bull Racing,4.0,4,4,0,3.0,10.0,5.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,NOR,McLaren,5.0,7,7,0,8.0,12.0,9.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,LEC,Ferrari,6.0,8,8,0,4.0,7.0,7.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,OCO,Alpine,7.0,6,6,0,10.0,6.0,6.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,ALO,Alpine,8.0,13,13,0,14.0,5.0,3.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,RIC,McLaren,9.0,16,16,0,12.0,8.0,13.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,GAS,Racing Bulls,10.0,9,9,0,6.0,11.0,10.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,SAI,Ferrari,11.0,5,5,0,9.0,4.0,8.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,GIO,Sauber,12.0,12,12,0,,18.0,14.0,0,0,0,0,1,1,0,0,0
2021,3,Portimão,VET,Aston Martin,13.0,10,10,0,16.0,15.0,18.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,STR,Aston Martin,14.0,17,17,0,11.0,9.0,15.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,TSU,Racing Bulls,15.0,14,14,0,13.0,14.0,12.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,RUS,Williams,16.0,11,11,0,7.0,13.0,17.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,MSC,Haas F1 Team,17.0,19,19,0,18.0,17.0,16.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,LAT,Williams,18.0,18,18,0,19.0,19.0,20.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,MAZ,Haas F1 Team,19.0,20,20,0,20.0,20.0,19.0,0,0,0,0,1,0,0,0,0
2021,3,Portimão,RAI,Sauber,49.54,15,15,0,15.0,16.0,11.0,0,0,1,0,0,0,0,0,0
2021,4,Barcelona,HAM,Mercedes,1.0,1,1,0,3.0,1.0,2.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,VER,Red Bull Racing,2.0,2,2,0,2.0,9.0,1.0,0,0,0,0,1,0,0,0,1
2021,4,Barcelona,BOT,Mercedes,3.0,3,3,0,1.0,2.0,5.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,LEC,Ferrari,4.0,4,4,0,5.0,3.0,3.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,PER,Red Bull Racing,5.0,8,8,0,9.0,10.0,10.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,RIC,McLaren,6.0,7,7,0,14.0,15.0,8.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,SAI,Ferrari,7.0,6,6,0,6.0,8.0,4.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,NOR,McLaren,8.0,9,9,0,4.0,12.0,6.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,OCO,Alpine,9.0,5,5,0,12.0,4.0,13.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,GAS,Racing Bulls,10.0,12,12,0,7.0,6.0,7.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,STR,Aston Martin,11.0,11,11,0,10.0,14.0,14.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,RAI,Sauber,12.0,17,17,0,,16.0,9.0,0,0,0,0,1,1,0,0,0
2021,4,Barcelona,VET,Aston Martin,13.0,13,13,0,8.0,11.0,17.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,RUS,Williams,14.0,15,15,0,,17.0,15.0,0,0,0,0,1,1,0,0,0
2021,4,Barcelona,GIO,Sauber,15.0,14,14,0,13.0,13.0,16.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,LAT,Williams,16.0,19,19,0,16.0,18.0,18.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,ALO,Alpine,17.0,10,10,0,15.0,5.0,11.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,MSC,Haas F1 Team,18.0,18,18,0,18.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,MAZ,Haas F1 Team,19.0,20,20,0,20.0,20.0,20.0,0,0,0,0,1,0,0,0,0
2021,4,Barcelona,TSU,Racing Bulls,47.27,16,16,0,11.0,7.0,12.0,0,1,0,0,0,0,0,0,0
2021,5,Monte Carlo,VER,Red Bull Racing,1.0,2,2,0,3.0,4.0,1.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,SAI,Ferrari,2.0,4,4,0,2.0,2.0,2.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,NOR,McLaren,3.0,5,5,0,7.0,6.0,6.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,PER,Red Bull Racing,4.0,9,9,0,1.0,8.0,5.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,VET,Aston Martin,5.0,8,8,0,8.0,10.0,10.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,GAS,Racing Bulls,6.0,6,6,0,4.0,7.0,9.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,HAM,Mercedes,7.0,7,7,0,5.0,3.0,7.0,0,0,0,0,1,0,0,0,1
2021,5,Monte Carlo,STR,Aston Martin,8.0,13,13,0,11.0,13.0,12.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,OCO,Alpine,9.0,11,11,0,16.0,14.0,20.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,GIO,Sauber,10.0,10,10,0,12.0,9.0,11.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,RAI,Sauber,11.0,14,14,0,10.0,11.0,8.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,RIC,McLaren,12.0,12,12,0,15.0,15.0,13.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,ALO,Alpine,13.0,17,17,0,13.0,12.0,15.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,RUS,Williams,14.0,15,15,0,19.0,16.0,17.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,LAT,Williams,15.0,18,18,0,14.0,17.0,18.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,TSU,Racing Bulls,16.0,16,16,0,9.0,20.0,19.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,MAZ,Haas F1 Team,17.0,19,19,0,17.0,18.0,16.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,MSC,Haas F1 Team,18.0,20,0,0,18.0,19.0,14.0,0,0,0,0,1,0,0,0,0
2021,5,Monte Carlo,BOT,Mercedes,32.56,3,3,0,6.0,5.0,4.0,0,1,0,0,0,0,0,0,0
2021,5,Monte Carlo,LEC,Ferrari,50.0,1,1,0,,1.0,3.0,0,1,0,0,0,1,0,0,0
2021,6,Baku,PER,Red Bull Racing,1.0,6,7,0,4.0,1.0,2.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,VET,Aston Martin,2.0,11,11,0,15.0,15.0,11.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,GAS,Racing Bulls,3.0,4,4,0,6.0,5.0,1.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,LEC,Ferrari,4.0,1,1,0,2.0,4.0,4.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,NOR,McLaren,5.0,9,6,0,8.0,8.0,6.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,ALO,Alpine,6.0,8,9,0,9.0,6.0,7.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,TSU,Racing Bulls,7.0,7,8,0,14.0,10.0,8.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,SAI,Ferrari,8.0,5,5,0,3.0,3.0,5.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,RIC,McLaren,9.0,13,13,0,5.0,13.0,10.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,RAI,Sauber,10.0,14,14,0,11.0,12.0,14.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,GIO,Sauber,11.0,20,20,0,12.0,7.0,17.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,BOT,Mercedes,12.0,10,10,0,10.0,16.0,13.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,MSC,Haas F1 Team,13.0,17,17,0,19.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,MAZ,Haas F1 Team,14.0,18,18,0,20.0,18.0,20.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,HAM,Mercedes,15.0,2,2,0,7.0,11.0,3.0,0,0,0,0,1,0,0,0,0
2021,6,Baku,LAT,Williams,16.0,16,16,0,18.0,20.0,16.0,0,0,0,1,1,0,0,0,0
2021,6,Baku,RUS,Williams,20.59,15,15,0,17.0,17.0,18.0,0,1,0,0,0,0,0,0,0
2021,6,Baku,VER,Red Bull Racing,23.53,3,3,0,1.0,2.0,15.0,0,0,1,0,0,0,0,0,1
2021,6,Baku,STR,Aston Martin,32.94,19,19,0,13.0,14.0,12.0,0,0,1,0,0,0,0,0,0
2021,6,Baku,OCO,Alpine,48.24,12,12,0,16.0,9.0,9.0,0,1,0,0,0,0,0,0,0
2021,7,Le Castellet,VER,Red Bull Racing,1.0,1,1,0,3.0,1.0,1.0,0,0,0,0,1,0,0,0,1
2021,7,Le Castellet,HAM,Mercedes,2.0,2,2,0,2.0,3.0,5.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,PER,Red Bull Racing,3.0,4,4,0,4.0,12.0,4.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,BOT,Mercedes,4.0,3,3,0,1.0,2.0,2.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,NOR,McLaren,5.0,8,8,0,9.0,10.0,6.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,RIC,McLaren,6.0,10,10,0,6.0,14.0,10.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,GAS,Racing Bulls,7.0,6,6,0,8.0,7.0,9.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,ALO,Alpine,8.0,9,9,0,7.0,4.0,7.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,VET,Aston Martin,9.0,12,12,0,15.0,15.0,15.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,STR,Aston Martin,10.0,19,19,0,14.0,16.0,14.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,SAI,Ferrari,11.0,5,5,0,16.0,8.0,3.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,RUS,Williams,12.0,14,14,0,,17.0,17.0,0,0,0,0,1,1,0,0,0
2021,7,Le Castellet,TSU,Racing Bulls,13.0,0,20,0,10.0,13.0,12.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,OCO,Alpine,14.0,11,11,0,5.0,6.0,8.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,GIO,Sauber,15.0,13,13,0,12.0,11.0,13.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,LEC,Ferrari,16.0,7,7,0,11.0,5.0,11.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,RAI,Sauber,17.0,17,17,0,13.0,9.0,16.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,LAT,Williams,18.0,16,16,0,17.0,18.0,18.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,MSC,Haas F1 Team,19.0,15,15,0,19.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,MAZ,Haas F1 Team,20.0,18,18,0,18.0,20.0,20.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,VER,Red Bull Racing,1.0,1,1,0,1.0,2.0,2.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,HAM,Mercedes,2.0,2,3,0,4.0,1.0,1.0,0,0,0,0,1,0,0,0,1
2021,8,Spielberg,BOT,Mercedes,3.0,5,2,0,2.0,12.0,3.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,PER,Red Bull Racing,4.0,4,5,0,13.0,9.0,4.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,NOR,McLaren,5.0,3,4,0,16.0,7.0,6.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,SAI,Ferrari,6.0,12,12,0,11.0,11.0,14.0,0,0,0,0,1,0,0,0,0
